Wavelength_nm,AZURITE EF Glair,AZURITE EF GA,BUCKTHORN Pure,BURNT UMBER Glair,BURNT UMBER GA,CALCITE Glair,CALCITE GA,CARMINE GA,CINNABAR Glair,CINNABAR GA,GAMBOGE GA,HEMATITE Glair,INDIGO GA,INDIAN YELLOW INK,LAPISLAZULI Glair,LAPISLAZULI GA,LEAD TIN YELLOW Glair,LEAD TIN YELLOW GA,LEAD WHITE Glair,LEAD WHITE GA,MINIUM Glair,MINIUM GA,MALACHITE Glair,MALACHITE GA,YELLOW OCKER Glair,YELLOW OCKER GA,ORPIMENT Glair,ORPIMENT GA,SAFFRON GA,SMALT Glair,SMALT GA,VERDIGRIS Glair,VERDIGRIS GA
2559.999905,0.314269,0.0180247,0.253936,0.767888,0.272237,0.0447577,0.2651,0.536924,0.0089073,0.204046,0.190791,0.40007,0.231336,0.282107,0.35948,0.0532529,0.284487,0.396584,0.197308,0.201362,0.0316995,0.151641,0.328124,0.15112,0.51521,0.331416,0.0101474,0.105659,0.0622243,0.0810491,0.108126,0.479406,0.49273
2561.221862,0.313826,0.0196634,0.252718,0.764512,0.270292,0.0384296,0.259531,0.534575,0.00700445,0.200376,0.18708,0.398116,0.23039,0.279732,0.355887,0.0516576,0.280744,0.390132,0.192473,0.197646,0.029423,0.145712,0.329099,0.148507,0.513043,0.329674,0.00652924,0.10367,0.0598987,0.0785784,0.105414,0.474441,0.489117
2562.444986,0.314611,0.0211763,0.253648,0.763929,0.269467,0.0347792,0.257093,0.532868,0.00631468,0.199147,0.184589,0.396795,0.230114,0.278334,0.354034,0.050644,0.279278,0.387061,0.190663,0.196178,0.0297859,0.143565,0.331078,0.147183,0.513194,0.325986,0.00574976,0.102653,0.0590041,0.0765977,0.103083,0.472786,0.487491
2563.669278,0.317314,0.0229945,0.254786,0.76574,0.268327,0.032407,0.254928,0.532071,0.00693241,0.198955,0.183422,0.395417,0.230601,0.275853,0.353692,0.0505452,0.27896,0.384398,0.19201,0.195283,0.0316252,0.142698,0.33289,0.145888,0.512824,0.322518,0.00647254,0.101548,0.0573074,0.0747885,0.100857,0.471973,0.485375
2564.894742,0.320995,0.0259789,0.25405,0.768187,0.268604,0.0299893,0.25289,0.531249,0.00687039,0.198319,0.181738,0.395771,0.231774,0.272664,0.353469,0.0507776,0.278155,0.381443,0.192557,0.194908,0.0321535,0.142758,0.333655,0.145132,0.510617,0.322173,0.00610061,0.101213,0.0545908,0.0732613,0.0993403,0.471183,0.48283
2566.121377,0.324624,0.0295777,0.252223,0.768574,0.266642,0.025915,0.251436,0.529391,0.00532566,0.196784,0.178708,0.396562,0.231681,0.269664,0.351986,0.0507806,0.276563,0.378322,0.190812,0.19395,0.0301566,0.14261,0.334686,0.145204,0.506638,0.322356,0.00374138,0.099792,0.051211,0.0702423,0.0974373,0.470792,0.478579
2567.349187,0.330463,0.03423,0.251444,0.770255,0.263896,0.0246459,0.251692,0.528531,0.00564563,0.196474,0.177998,0.398469,0.233124,0.267552,0.35254,0.0509537,0.277436,0.378942,0.191782,0.194393,0.0306929,0.144001,0.336351,0.146494,0.505751,0.323141,0.00375825,0.0997907,0.0506128,0.0689132,0.095302,0.473471,0.474628
2568.578171,0.337187,0.0391894,0.250024,0.772776,0.260177,0.0248861,0.25231,0.528357,0.00592116,0.196657,0.177009,0.400137,0.233142,0.265097,0.353687,0.049898,0.279757,0.379982,0.191296,0.195816,0.0330047,0.14437,0.337614,0.147637,0.506768,0.323836,0.00509927,0.100266,0.0485515,0.0699342,0.0915283,0.47461,0.471034
2569.808333,0.344604,0.0445854,0.248075,0.774304,0.259175,0.0250635,0.25225,0.527735,0.00577359,0.196712,0.175609,0.401946,0.232114,0.263148,0.353965,0.0484847,0.282235,0.381791,0.189224,0.195913,0.0342643,0.144903,0.338706,0.149136,0.508984,0.325234,0.00599714,0.100317,0.0471778,0.0722263,0.0879036,0.473844,0.469463
2571.039674,0.354162,0.0496438,0.246148,0.775102,0.259203,0.0264025,0.251685,0.527263,0.00700773,0.197742,0.17225,0.403757,0.231537,0.261212,0.35536,0.0475531,0.285682,0.385912,0.189378,0.195295,0.0370119,0.147404,0.339197,0.150469,0.51089,0.326049,0.00743236,0.100527,0.0466899,0.073351,0.0834589,0.474075,0.46876
2572.272196,0.363772,0.0548195,0.245246,0.774872,0.257738,0.0275897,0.251703,0.525699,0.00762711,0.20046,0.167894,0.405413,0.229955,0.260649,0.357751,0.046713,0.288399,0.390961,0.190688,0.19663,0.0398564,0.148858,0.33841,0.152057,0.512723,0.325739,0.00843489,0.100046,0.0454946,0.0734432,0.0801693,0.473745,0.467752
2573.505899,0.371696,0.0598821,0.244049,0.771308,0.254935,0.0245895,0.250153,0.522914,0.00600263,0.201164,0.163031,0.405465,0.225785,0.260645,0.35787,0.0443597,0.288741,0.391873,0.189403,0.195309,0.0405326,0.14618,0.337358,0.152735,0.513342,0.323461,0.00621814,0.0983304,0.0428206,0.0716043,0.0776792,0.470687,0.465079
