Wavelength_nm,AZURITE - GAMBOGE GA on Paper,AZURITE - GAMBOGE GA on Parchment,AZURITE - LEAD WHITE Glair on Paper,AZURITE - LEAD WHITE Glair on Parchment,AZURITE - LEAD WHITE GA on Paper,AZURITE - LEAD WHITE GA on Parchment,CARMINE - GAMBOGE GA on Paper,CARMINE - GAMBOGE GA on Parchment,CARMINE - LEAD WHITE GA on Paper,CARMINE - LEAD WHITE GA on Parchment,CINNABAR - LEAD TIN YELLOW - LEAD WHITE Glair on Paper,CINNABAR - LEAD TIN YELLOW - LEAD WHITE Glair on Parchment,CINNABAR - LEAD TIN-YELLOW - LEAD WHITE GA on Paper,CINNABAR - LEAD TIN YELLOW - LEAD WHITE GA on Parchment,CINNABAR - LEAD WHITE Glair on Paper,CINNABAR - LEAD WHITE Glair on Parchment,CINNABAR - LEAD WHITE GA on Paper,CINNABAR - LEAD WHITE GA on Parchment,GAMBOGE - MALACHITE GA on Paper,GAMBOGE - MALACHITE GA on Parchment,GAMBOGE - VERDIGRIS GA on Paper,GAMBOGE - VERDIGRIS GA on Parchment,INDIGO - ORPIMENT GA on Paper,INDIGO - ORPIMENT GA on Parchment,LEAD TIN YELLOW - LEAD WHITE Glair on Paper,LEAD TIN YELLOW - LEAD WHITE Glair on Parchment,LEAD TIN YELLOW - LEAD WHITE GA on Paper,LEAD TIN YELLOW - LEAD WHITE GA on Parchment,MINIUM - LEAD TIN YELLOW Glair on Paper,MINIUM - LEAD TIN YELLOW Glair on Parchment,MINIUM - LEAD TIN YELLOW GA on Paper,MINIUM - LEAD TIN YELLOW GA on Parchment,MALACHITE - LEAD WHITE Glair on Paper,MALACHITE - LEAD WHITE Glair on Parchment,MALACHITE - LEAD WHITE GA on Paper,MALACHITE - LEAD WHITE GA on Parchment,SAFFRON - GAMBOGE GA on Paper,SAFFRON - GAMBOGE GA on Parchment,VERDIGRIS - LEAD WHITE Glair on Paper,VERDIGRIS - LEAD WHITE Glair on Parchment,VERDIGRIS - LEAD WHITE GA on Paper,VERDIGRIS - LEAD WHITE GA on Parchment
2883.266953,1.33085,1.3363,1.33426,1.27194,1.43722,1.47742,1.57631,1.47454,1.28976,1.17149,0.981492,1.07638,1.79486,1.40644,0.811092,0.867587,1.44188,1.4437,1.40775,1.32102,1.56458,1.29575,1.1152,1.27345,0.811651,1.07638,1.40127,1.18706,0.517028,0.89205,1.72836,1.23313,1.14685,1.01711,1.52912,1.43543,1.33757,1.46622,1.26804,1.41656,1.43349,1.44495
2884.817096,1.33053,1.33725,1.32791,1.2669,1.45434,1.46553,1.58382,1.48722,1.30101,1.17656,0.982428,1.08002,1.79815,1.41998,0.811509,0.86094,1.43141,1.446,1.41473,1.32815,1.58578,1.29498,1.12703,1.28089,0.814146,1.08002,1.40987,1.17695,0.516873,0.889109,1.76782,1.21331,1.14532,1.01095,1.54981,1.45063,1.32947,1.48061,1.25866,1.42578,1.43921,1.45202
2886.368908,1.32037,1.34545,1.32588,1.26335,1.45342,1.44413,1.56892,1.50213,1.30794,1.17809,0.98526,1.0825,1.80721,1.41225,0.808889,0.857491,1.41837,1.43841,1.40765,1.33271,1.58933,1.29307,1.13339,1.28502,0.812387,1.0825,1.41455,1.17477,0.517157,0.885878,1.82916,1.19929,1.14542,1.00964,1.54426,1.44794,1.31455,1.4872,1.2486,1.42604,1.43818,1.46467
2887.922389,1.3101,1.3554,1.31761,1.26969,1.45437,1.41749,1.53107,1.51686,1.31474,1.17678,0.988682,1.0841,1.79351,1.39982,0.807896,0.857975,1.42415,1.43374,1.40826,1.33541,1.57697,1.29558,1.13601,1.28191,0.810186,1.0841,1.41774,1.17539,0.518678,0.887142,1.86347,1.1976,1.15427,1.01027,1.54053,1.42952,1.30148,1.49071,1.24399,1.43109,1.44139,1.46932
2889.477544,1.3069,1.36269,1.30038,1.2712,1.46522,1.39172,1.53509,1.51752,1.31646,1.17368,0.99088,1.08148,1.75179,1.385,0.810033,0.857969,1.42795,1.42923,1.4047,1.32744,1.55403,1.29841,1.13415,1.27769,0.809116,1.08148,1.4069,1.17048,0.521018,0.890369,1.84651,1.20041,1.16864,1.01504,1.54801,1.41007,1.2958,1.47993,1.23553,1.44049,1.44778,1.45464
2891.034375,1.31491,1.36742,1.29583,1.26734,1.47829,1.38743,1.57793,1.51451,1.30803,1.17237,0.99454,1.08117,1.69844,1.3761,0.815085,0.860298,1.44449,1.42506,1.39488,1.32251,1.53656,1.30087,1.13559,1.27766,0.807816,1.08117,1.39577,1.17074,0.52276,0.894152,1.8084,1.21154,1.18354,1.02114,1.5505,1.39436,1.2951,1.46775,1.23031,1.45267,1.45133,1.44389
2892.592884,1.32539,1.36652,1.28581,1.26209,1.4835,1.3943,1.60998,1.50563,1.28871,1.16722,0.997923,1.08489,1.64138,1.36985,0.815926,0.864679,1.47276,1.4187,1.39478,1.32247,1.52821,1.2994,1.13936,1.27339,0.805815,1.08489,1.39406,1.16818,0.524184,0.894547,1.77829,1.21595,1.18833,1.02045,1.5407,1.37968,1.29273,1.44547,1.23023,1.44883,1.45011,1.43945
2894.153074,1.33279,1.36966,1.27464,1.26271,1.47332,1.41189,1.63017,1.49142,1.27565,1.16217,1.00163,1.09186,1.62482,1.37176,0.813922,0.872694,1.49038,1.41848,1.40155,1.32923,1.53125,1.28938,1.14603,1.26774,0.803997,1.09186,1.38677,1.16409,0.525584,0.897321,1.78231,1.21814,1.18767,1.02004,1.53275,1.38146,1.30238,1.41345,1.22631,1.43798,1.45887,1.44257
2895.714948,1.32423,1.36942,1.27638,1.26379,1.45013,1.41971,1.62733,1.46437,1.26899,1.1599,1.00868,1.09567,1.61621,1.3753,0.811504,0.878566,1.48156,1.4168,1.40195,1.34214,1.52594,1.27282,1.14672,1.26219,0.803434,1.09567,1.37286,1.16023,0.52768,0.901805,1.78789,1.22568,1.18503,1.02102,1.52458,1.39198,1.31794,1.39251,1.22448,1.42985,1.46574,1.43839
2897.278509,1.31639,1.36865,1.29477,1.25854,1.42711,1.41989,1.62999,1.44422,1.27432,1.15829,1.01725,1.09881,1.61517,1.37072,0.812275,0.883883,1.47429,1.41985,1.40747,1.35086,1.51785,1.26379,1.14005,1.25842,0.805138,1.09881,1.37603,1.16494,0.531338,0.905727,1.77133,1.23754,1.18538,1.02668,1.52104,1.39922,1.3274,1.40516,1.23544,1.43276,1.46078,1.43447
2898.84376,1.30867,1.35668,1.31653,1.2473,1.41003,1.41383,1.64673,1.4306,1.28055,1.14672,1.02128,1.09858,1.6174,1.36474,0.813,0.889845,1.48498,1.42239,1.41497,1.34833,1.50581,1.25992,1.13625,1.2502,0.806409,1.09858,1.37875,1.17533,0.535232,0.906913,1.73212,1.24472,1.18333,1.03549,1.52257,1.40244,1.32925,1.41797,1.2477,1.43119,1.44226,1.4303
2900.410702,1.30008,1.34145,1.33482,1.24854,1.40192,1.41977,1.65013,1.42741,1.28605,1.13768,1.02132,1.09441,1.62902,1.37219,0.814888,0.891741,1.48862,1.4369,1.41593,1.35665,1.5049,1.25831,1.13829,1.24929,0.809485,1.09441,1.37959,1.18421,0.537437,0.908695,1.72422,1.24708,1.17818,1.04615,1.53515,1.40492,1.3391,1.42781,1.25806,1.42582,1.44059,1.4248
